Physical_Address,Size,Type,Object_Name
00000958,0000000c,W,Bus_Fault
00000958,0000000c,T,Default_Handler
20001748,00000200,B,DestArray512
20001124,00000400,B,DestBuffer_DMA
2000111c,00000001,B,DestBufferA
20001120,00000001,B,DestBufferB
00000c48,00000080,T,DestinationAddressPointerRegisters
000003a0,00000058,T,DMA_AssignChannel
0000010c,00000158,T,DMA_ChannelControlStructureSet
00000cc8,00000080,t,DMA_ChannelControlWordRegisters
20000000,00000010,d,DMA_ChannelMapSelectRegisters
000002f4,00000054,T,DMA_ConfigureChannelInterrupt
00000264,00000058,T,DMA_ConfigureChannelSoftwareRequest
000002bc,00000038,T,DMA_ConfigurePeripheralInterrupt
00000348,00000058,T,DMA_ConfigurePriority
000000e0,0000002c,T,DMA_EnableChannel
00000054,0000008c,T,DMA_EnableChannelAttributes
20000c80,00000080,b,DMA_ErrorHandler_Callback
20000400,00000001,b,DMA_InterruptFlag
0000001c,00000038,T,DMA_PeripheralInitialization
20000c00,00000080,b,DMA_SoftwareTransfer_Callback
20000010,00000010,D,DMAChannel30_MemToMem
20000d04,00000018,b,EXTI_Callback
00000000,0000001c,T,gp_fn_vectors
00000608,00000080,T,GPIO_ConfigureCommit
00000578,00000090,T,GPIO_ConfigureDigitalEnable
000007c0,00000064,T,GPIO_ConfigureInputPin
00000688,0000005a,T,GPIO_ConfigureOutputPin
2000002c,00000002,D,GPIO_ConfigurePin_PF0
20000028,00000002,D,GPIO_ConfigurePin_PF1
20000024,00000002,D,GPIO_ConfigurePin_PF4
00000d60,00000018,t,GPIO_Data_Registers
00000d78,00000018,t,GPIO_DigitalEnable_Registers
00000d48,00000018,t,GPIO_Direction_Registers
000003f8,00000060,t,GPIO_EnableRunModeClockGateControl
00000d90,00000018,t,GPIO_LOCK_Registers
00000da8,00000018,t,GPIO_Port_Commit
00000dc0,00000018,t,GPIO_PullUp_Registers
000004e8,00000090,T,GPIO_SetData
00000774,0000004c,T,GPIO_SetInputStatus
000006e4,00000090,T,GPIO_SetPinDirection
00000458,00000090,T,GPIO_SetPinStatus
00000958,0000000c,W,H_fault_Handler
20000d00,00000004,B,handlerCounter
20001948,00000004,B,IdleLoopCounter
20001540,00000004,B,indexCounter
2000153c,00000004,B,IndexCounter
00000de8,00000010,t,Interrupt_Clear_Registers
00000dd8,00000010,t,Interrupt_Enable_Registers
20001524,00000018,B,ListDest
00000824,0000009c,T,main
00000958,0000000c,W,MM_fault_Handler
20001544,00000004,B,MySystemClock
00000958,0000000c,W,NMI_Handler
0000090c,0000004c,T,NVIC_Clear_Interrupt
000008c0,0000004c,T,NVIC_Enable_Interrupt
20000020,00000004,D,Pt_DMAChannel30_MemToMem
00000964,00000080,T,Reset_Handler
000009e4,00000048,t,SC_GetOscillatorValue
00000a2c,0000009c,T,SC_GetSystemClock
00000df8,00000010,T,SC_SYSDIV
20000401,00000001,B,ScatterGatherFlag
00000bc8,00000080,T,SourceAddressPointerRegisters
20001548,00000200,B,SourceArray512
20000d1c,00000400,B,SourceBuffer_DMA
2000194c,00000400,b,Stack_top
20001d4c,00000004,b,Systick_Callback
00000b44,0000002c,T,SysTickConfigureClockSource
00000ae4,0000001c,t,SysTickDisable
00000ac8,0000001c,t,SysTickEnable
00000b00,00000044,t,SysTickFrequencyGet
00000b70,00000058,T,SysTickGenerateDelay_Interrupt
20001d54,00000014,b,UART0_Callback
20001d68,00000014,b,UART1_Callback
20001d7c,00000014,b,UART2_Callback
20001d90,00000014,b,UART3_Callback
20001da4,00000014,b,UART4_Callback
20001db8,00000014,b,UART5_Callback
20001dcc,00000014,b,UART6_Callback
20001de0,00000014,b,UART7_Callback
20001d51,00000001,B,UARTDMA_RxFlag
20001d50,00000001,B,UARTDMA_TxFlag
20000800,00000400,B,ui8ControlTable
00000958,0000000c,W,Usage_Fault_Handler
