Name,Type,Size,Location
DMA_ErrorHandler,.text,16 (0x10),DMA.o
DMA_SoftwareTransferHandler,.text,32 (0x20),DMA.o
DMA_DisableChannelAttributes,.text,68 (0x44),DMA.o
DMA_ConfigureControlTableBaseAddress,.text,16 (0x10),DMA.o
DMA_ChannelAlternateControlStructureSet,.text,200 (0xc8),DMA.o
DMA_ConfigureChannelsRequests,.text,16 (0x10),DMA.o
DMA_DeAssignChannel,.text,40 (0x28),DMA.o
DMA_MemoryToMemory_Transfer,.text,40 (0x28),DMA.o
DMA_ChannelScatterGatherSet,.text,68 (0x44),DMA.o
DMA_ChannelPeripheralScatterGatherSet,.text,68 (0x44),DMA.o
DMA_RegisterCallbackFunction_SoftwareTransfer,.text,12 (0xc),DMA.o
DMA_RegisterCallbackFunction_ErrorHandler,.text,12 (0xc),DMA.o
AlternateDMA_ChannelControlWordRegisters,.rodata,128 (0x80),DMA.o
AlternateDestinationAddressPointerRegisters,.rodata,128 (0x80),DMA.o
AlternateSourceAddressPointerRegisters,.rodata,128 (0x80),DMA.o
DMAChannel0_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel0_UARTChannel2RX,.data,16 (0x10),DMA_config.o
DMAChannel10_UARTChannel6RX,.data,16 (0x10),DMA_config.o
DMAChannel11_UARTChannel6TX,.data,16 (0x10),DMA_config.o
DMAChannel16_UARTChannel3RX,.data,16 (0x10),DMA_config.o
DMAChannel17_UARTChannel3TX,.data,16 (0x10),DMA_config.o
DMAChannel18_UARTChannel4RX,.data,16 (0x10),DMA_config.o
DMAChannel19_UARTChannel4TX,.data,16 (0x10),DMA_config.o
DMAChannel1_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel20_UARTChannel7RX,.data,16 (0x10),DMA_config.o
DMAChannel21_UARTChannel7TX,.data,16 (0x10),DMA_config.o
DMAChannel22_UARTChannel1RX,.data,16 (0x10),DMA_config.o
DMAChannel23_UARTChannel1TX,.data,16 (0x10),DMA_config.o
DMAChannel23_UARTChannel2TX,.data,16 (0x10),DMA_config.o
DMAChannel26_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel28_MemToMem,.data,16 (0x10),DMA_config.o
