Name,Type,Size,Location
Default_Handler,.text,12 (0xc),startup.o
DestArray512,.bss,512 (0x200),main.o
DestBuffer_DMA,.bss,1024 (0x400),main.o
DestBufferA,.bss,1 (0x1),main.o
DestBufferB,.bss,1 (0x1),main.o
DestinationAddressPointerRegisters,.rodata,128 (0x80),DMA.o
DMA_AssignChannel,.text,88 (0x58),DMA.o
DMA_ChannelControlStructureSet,.text,344 (0x158),DMA.o
DMA_ChannelControlWordRegisters,.rodata,128 (0x80),DMA.o
DMA_ChannelMapSelectRegisters,.data,16 (0x10),DMA.o
DMA_ConfigureChannelInterrupt,.text,84 (0x54),DMA.o
DMA_ConfigureChannelSoftwareRequest,.text,88 (0x58),DMA.o
DMA_ConfigurePeripheralInterrupt,.text,56 (0x38),DMA.o
DMA_ConfigurePriority,.text,88 (0x58),DMA.o
DMA_EnableChannel,.text,44 (0x2c),DMA.o
DMA_EnableChannelAttributes,.text,140 (0x8c),DMA.o
DMA_ErrorHandler_Callback,.bss,128 (0x80),DMA.o
DMA_InterruptFlag,.bss,1 (0x1),DMA.o
DMA_PeripheralInitialization,.text,56 (0x38),DMA.o
DMA_SoftwareTransfer_Callback,.bss,128 (0x80),DMA.o
DMAChannel30_MemToMem,.data,16 (0x10),DMA_config.o
EXTI_Callback,.bss,24 (0x18),GPIO.o
GPIO_ConfigureCommit,.text,128 (0x80),GPIO.o
GPIO_ConfigureDigitalEnable,.text,144 (0x90),GPIO.o
GPIO_ConfigureInputPin,.text,100 (0x64),GPIO.o
GPIO_ConfigureOutputPin,.text,90 (0x5a),GPIO.o
GPIO_ConfigurePin_PF0,.data,2 (0x2),GPIO_config.o
GPIO_ConfigurePin_PF1,.data,2 (0x2),GPIO_config.o
GPIO_ConfigurePin_PF4,.data,2 (0x2),GPIO_config.o
GPIO_Data_Registers,.rodata,24 (0x18),GPIO.o
GPIO_DigitalEnable_Registers,.rodata,24 (0x18),GPIO.o
GPIO_Direction_Registers,.rodata,24 (0x18),GPIO.o
GPIO_EnableRunModeClockGateControl,.text,96 (0x60),GPIO.o
GPIO_LOCK_Registers,.rodata,24 (0x18),GPIO.o
GPIO_Port_Commit,.rodata,24 (0x18),GPIO.o
GPIO_PullUp_Registers,.rodata,24 (0x18),GPIO.o
GPIO_SetData,.text,144 (0x90),GPIO.o
GPIO_SetInputStatus,.text,76 (0x4c),GPIO.o
GPIO_SetPinDirection,.text,144 (0x90),GPIO.o
GPIO_SetPinStatus,.text,144 (0x90),GPIO.o
handlerCounter,.bss,4 (0x4),DMA.o
IdleLoopCounter,.bss,4 (0x4),main.o
indexCounter,.bss,4 (0x4),main.o
IndexCounter,.bss,4 (0x4),main.o
Interrupt_Clear_Registers,.rodata,16 (0x10),NVIC.o
Interrupt_Enable_Registers,.rodata,16 (0x10),NVIC.o
ListDest,.bss,24 (0x18),main.o
main,.text,156 (0x9c),main.o
MySystemClock,.bss,4 (0x4),main.o
NVIC_Clear_Interrupt,.text,76 (0x4c),NVIC.o
NVIC_Enable_Interrupt,.text,76 (0x4c),NVIC.o
Pt_DMAChannel30_MemToMem,.data,4 (0x4),DMA_config.o
Reset_Handler,.text,128 (0x80),startup.o
SC_GetOscillatorValue,.text,72 (0x48),SystemControl.o
SC_GetSystemClock,.text,156 (0x9c),SystemControl.o
SC_SYSDIV,.rodata,16 (0x10),SystemControl.o
ScatterGatherFlag,.bss,1 (0x1),DMA.o
SourceAddressPointerRegisters,.rodata,128 (0x80),DMA.o
SourceArray512,.bss,512 (0x200),main.o
SourceBuffer_DMA,.bss,1024 (0x400),main.o
Stack_top,.bss,1024 (0x400),startup.o
Systick_Callback,.bss,4 (0x4),SystickTimer.o
SysTickConfigureClockSource,.text,44 (0x2c),SystickTimer.o
SysTickDisable,.text,28 (0x1c),SystickTimer.o
SysTickEnable,.text,28 (0x1c),SystickTimer.o
SysTickFrequencyGet,.text,68 (0x44),SystickTimer.o
SysTickGenerateDelay_Interrupt,.text,88 (0x58),SystickTimer.o
UART0_Callback,.bss,20 (0x14),UART.o
UART1_Callback,.bss,20 (0x14),UART.o
UART2_Callback,.bss,20 (0x14),UART.o
UART3_Callback,.bss,20 (0x14),UART.o
UART4_Callback,.bss,20 (0x14),UART.o
UART5_Callback,.bss,20 (0x14),UART.o
UART6_Callback,.bss,20 (0x14),UART.o
UART7_Callback,.bss,20 (0x14),UART.o
UARTDMA_RxFlag,.bss,1 (0x1),UART.o
UARTDMA_TxFlag,.bss,1 (0x1),UART.o
ui8ControlTable,.bss,1024 (0x400),DMA.o
