0000fe1c a $core_id
0000fe38 a $fcx
0000fe28 a $isp
0000fe3c a $lcx
0000fe00 a $pcxi
8000a492 T ___virtio
8000a492 T ___virtio_hnd
80006134 0000001a T __ashldi3
8000c03c D __crt0_config
70000000 B __CSA_BASE_CPU0_
60000000 B __CSA_BASE_CPU1_
50000000 B __CSA_BASE_CPU2_
8000b014 R __CTOR_END__
8000aff4 R __CTOR_LIST__
70005f38 00000004 D __ctype_ptr__
80009f2a 00000056 T __d2b
8000600a 0000008a T __divdi3
800096b0 00000002 T __env_lock
800096b2 00000002 T __env_unlock
8000a43e 0000000a W __errno
8000a390 00000032 T __fpclassifyf
700050ac 00000018 d __gcov_.bsp_board_led_Init
700050c4 00000018 d __gcov_.bsp_board_led_InitAll
70005058 00000018 d __gcov_.bsp_board_led_Set
70005000 00000018 d __gcov_.bsp_board_wdg_Disable
7000513c 00000018 d __gcov_.bsp_isr_Init
700050e8 00000018 d __gcov_.bsp_isr_RegisterHandler
70005510 00000018 d __gcov_.bsp_uc_ccu_SelectExtClk0
700054f8 00000018 d __gcov_.bsp_uc_ccu_SelectExtClk1
70005408 00000018 d __gcov_.bsp_uc_core_EnableDCache
70005420 00000018 d __gcov_.bsp_uc_core_EnableICache
700053f0 00000018 d __gcov_.bsp_uc_core_GetCurrentCore
700053d8 00000018 d __gcov_.bsp_uc_core_GetCurrentInterruptPriority
700054c8 00000018 d __gcov_.bsp_uc_core_StartAllCores
700054e0 00000018 d __gcov_.bsp_uc_core_StartCore
70005438 00000018 d __gcov_.bsp_uc_dflash_SetWs
700052e8 00000018 d __gcov_.bsp_uc_InitClock
70005300 00000018 d __gcov_.bsp_uc_intc_EnableExternalInterrupts
70005294 00000018 d __gcov_.bsp_uc_intc_InitBIV
70005330 00000018 d __gcov_.bsp_uc_intc_SetBIV
70005318 00000018 d __gcov_.bsp_uc_intc_stm_SetSRC
70005450 00000018 d __gcov_.bsp_uc_pflash_SetWs
700054b0 00000018 d __gcov_.bsp_uc_port_EnableInput
70005498 00000018 d __gcov_.bsp_uc_port_EnableOutput
70005468 00000018 d __gcov_.bsp_uc_port_GetGPIO
70005480 00000018 d __gcov_.bsp_uc_port_SetGPIO
70005570 00000018 d __gcov_.bsp_uc_scu_EnablePLL
70005558 00000018 d __gcov_.bsp_uc_scu_EnablePLLEray
70005588 00000018 d __gcov_.bsp_uc_scu_EnableXOSC
70005528 00000018 d __gcov_.bsp_uc_scu_SetCcuCon
70005540 00000018 d __gcov_.bsp_uc_scu_SwitchSystemClock
700055a0 00000018 d __gcov_.bsp_uc_scu_wdt_DisableCpuWatchdog
700055b8 00000018 d __gcov_.bsp_uc_scu_wdt_DisableSafetyWatchdog
70005390 00000018 d __gcov_.bsp_uc_stm_ClearChannelIsrFlag
700053a8 00000018 d __gcov_.bsp_uc_stm_EnableChannelIsr
70005360 00000018 d __gcov_.bsp_uc_stm_GetChannelCurrentValue
70005378 00000018 d __gcov_.bsp_uc_stm_IsChannelIsrFlag
700053c0 00000018 d __gcov_.bsp_uc_stm_ReloadChannel
70005348 00000018 d __gcov_.bsp_uc_stm_Wait
70005650 00000018 d __gcov_.Crt0PostInit
700056a4 00000018 d __gcov_.Crt0PreInit
70005154 00000018 d __gcov_.isr_undef_handler
700056bc 00000018 d __gcov_.shared_main
700056d4 00000018 d __gcov_.TimerMulticoreIsrHandler
7000525c 00000018 d __gcov_.Trap_0_Handler
70005244 00000018 d __gcov_.Trap_1_Handler
7000522c 00000018 d __gcov_.Trap_2_Handler
70005214 00000018 d __gcov_.Trap_3_Handler
700051fc 00000018 d __gcov_.Trap_4_Handler
700051e4 00000018 d __gcov_.Trap_5_Handler
700051cc 00000018 d __gcov_.Trap_6_Handler
70005178 00000018 d __gcov_.Trap_7_Handler
80005026 00000032 T __gcov_close
80005f3c 00000056 T __gcov_init
80004d84 00000020 T __gcov_merge_add
80004fc6 00000060 T __gcov_open
8000516c 00000018 T __gcov_read_counter
80005184 000000d2 T __gcov_read_summary
8000515e 0000000e T __gcov_read_unsigned
80004fa2 00000024 T __gcov_rewrite
80005256 00000036 T __gcov_seek
70006694 00001020 B __gcov_var
80005064 00000012 T __gcov_write_counter
80005088 000000d6 T __gcov_write_summary
80005076 00000012 T __gcov_write_tag_length
80005058 0000000c T __gcov_write_unsigned
70005f68 00000018 b __gcov0.bsp_board_led_Init
70005f80 00000018 b __gcov0.bsp_board_led_InitAll
70005f58 00000010 b __gcov0.bsp_board_led_Set
70005f50 00000008 b __gcov0.bsp_board_wdg_Disable
70005fc0 00000040 b __gcov0.bsp_isr_Init
70005f98 00000028 b __gcov0.bsp_isr_RegisterHandler
700063b8 00000018 b __gcov0.bsp_uc_ccu_SelectExtClk0
700063a0 00000018 b __gcov0.bsp_uc_ccu_SelectExtClk1
70006278 00000028 b __gcov0.bsp_uc_core_EnableDCache
700062a0 00000030 b __gcov0.bsp_uc_core_EnableICache
70006268 00000010 b __gcov0.bsp_uc_core_GetCurrentCore
70006258 00000010 b __gcov0.bsp_uc_core_GetCurrentInterruptPriority
70006360 00000018 b __gcov0.bsp_uc_core_StartAllCores
70006378 00000028 b __gcov0.bsp_uc_core_StartCore
700062d0 00000018 b __gcov0.bsp_uc_dflash_SetWs
70006188 00000040 b __gcov0.bsp_uc_InitClock
700061c8 00000010 b __gcov0.bsp_uc_intc_EnableExternalInterrupts
70006158 00000030 b __gcov0.bsp_uc_intc_InitBIV
700061e0 00000028 b __gcov0.bsp_uc_intc_SetBIV
700061d8 00000008 b __gcov0.bsp_uc_intc_stm_SetSRC
700062e8 00000018 b __gcov0.bsp_uc_pflash_SetWs
70006348 00000018 b __gcov0.bsp_uc_port_EnableInput
70006310 00000038 b __gcov0.bsp_uc_port_EnableOutput
70006300 00000008 b __gcov0.bsp_uc_port_GetGPIO
70006308 00000008 b __gcov0.bsp_uc_port_SetGPIO
70006510 00000040 b __gcov0.bsp_uc_scu_EnablePLL
700064e0 00000030 b __gcov0.bsp_uc_scu_EnablePLLEray
70006550 00000048 b __gcov0.bsp_uc_scu_EnableXOSC
700063d0 00000028 b __gcov0.bsp_uc_scu_SetCcuCon
700063f8 000000e8 b __gcov0.bsp_uc_scu_SwitchSystemClock
70006598 00000020 b __gcov0.bsp_uc_scu_wdt_DisableCpuWatchdog
700065b8 00000018 b __gcov0.bsp_uc_scu_wdt_DisableSafetyWatchdog
70006240 00000008 b __gcov0.bsp_uc_stm_ClearChannelIsrFlag
70006248 00000008 b __gcov0.bsp_uc_stm_EnableChannelIsr
70006230 00000008 b __gcov0.bsp_uc_stm_GetChannelCurrentValue
70006238 00000008 b __gcov0.bsp_uc_stm_IsChannelIsrFlag
70006250 00000008 b __gcov0.bsp_uc_stm_ReloadChannel
70006208 00000028 b __gcov0.bsp_uc_stm_Wait
700065d0 00000040 b __gcov0.Crt0PostInit
70006610 00000030 b __gcov0.Crt0PreInit
70006000 00000010 b __gcov0.isr_undef_handler
70006640 00000010 b __gcov0.shared_main
70006650 00000028 b __gcov0.TimerMulticoreIsrHandler
70006138 00000020 b __gcov0.Trap_0_Handler
700060f0 00000048 b __gcov0.Trap_1_Handler
700060b8 00000038 b __gcov0.Trap_2_Handler
70006070 00000048 b __gcov0.Trap_3_Handler
70006048 00000028 b __gcov0.Trap_4_Handler
70006038 00000010 b __gcov0.Trap_5_Handler
70006028 00000010 b __gcov0.Trap_6_Handler
70006010 00000018 b __gcov0.Trap_7_Handler
70007708 00000001 B __HEAP
00001000 00000001 A __HEAP_END
00001000 A __HEAP_SIZE
80009b16 00000042 T __hi0bits
80009bbe 00000010 T __i2b
80009b58 00000066 T __lo0bits
80009d64 000000ba T __lshift
80005f92 00000026 T __lshrdi3
8000a5fe 00000016 T __make_fp
70005b30 00000408 D __malloc_av_
700076b8 00000028 B __malloc_current_mallinfo
8000736e 00000002 T __malloc_lock
700076e4 00000004 B __malloc_max_sbrked_mem
700076e0 00000004 B __malloc_max_total_mem
70005b28 00000004 D __malloc_sbrk_base
700076e8 00000004 B __malloc_top_pad
70005b2c 00000004 D __malloc_trim_threshold
80007370 00000002 T __malloc_unlock
80009e1e 00000042 T __mcmp
80009e60 000000ca T __mdiff
8000af88 00000008 R __mprec_bigtens
8000af90 00000064 R __mprec_tens
8000af80 00000008 R __mprec_tinytens
80009a94 00000082 T __multadd
80009bce 0000011a T __multiply
8000a6c0 000000c6 T __pack_f
80005fc8 00000042 T __popcountsi2
80009ce8 0000007c T __pow5mult
80008aac 00000094 T __register_exitproc
8000760c 00000008 T __sclose
800096b4 0000005e T __sflags
800063d4 0000002c T __sfmoreglue
800064e2 00000088 T __sfp
8000656a 00000002 T __sfp_lock_acquire
8000656c 00000002 T __sfp_lock_release
80009712 0000026c T __sfvwrite_r
80006400 000000e2 T __sinit
80006dd6 000000d4 T __smakebuf_r
8000a3c2 0000001a T __sprint_r
80007590 00000026 T __sread
800073a8 000000dc T __srefill_r
800075e2 0000002a T __sseek
70004000 B __STACK_BASE_CPU0_
60004000 B __STACK_BASE_CPU1_
50004000 B __STACK_BASE_CPU2_
800075b6 0000002c T __swrite
80008a1a 00000092 T __swsetup_r
8000a59c 0000003c T __truncdfsf2
