Name,Type,Size,Location
DMA_ErrorHandler,.text,32 (0x20),DMA.o
DMA_SoftwareTransferHandler,.text,36 (0x24),DMA.o
DMA_DisableChannelAttributes,.text,112 (0x70),DMA.o
DMA_ConfigureControlTableBaseAddress,.text,40 (0x28),DMA.o
DMA_ChannelAlternateControlStructureSet,.text,344 (0x158),DMA.o
DMA_ConfigureChannelsRequests,.text,36 (0x24),DMA.o
DMA_DeAssignChannel,.text,92 (0x5c),DMA.o
DMA_MemoryToMemory_Transfer,.text,52 (0x34),DMA.o
DMA_ChannelScatterGatherSet,.text,96 (0x60),DMA.o
DMA_ChannelPeripheralScatterGatherSet,.text,96 (0x60),DMA.o
DMA_RegisterCallbackFunction_SoftwareTransfer,.text,36 (0x24),DMA.o
DMA_RegisterCallbackFunction_ErrorHandler,.text,36 (0x24),DMA.o
DMAChannel8_UARTChannel0RX,.data,16 (0x10),DMA_config.o
DMAChannel9_UARTChannel0TX,.data,16 (0x10),DMA_config.o
DMAChannel22_UARTChannel1RX,.data,16 (0x10),DMA_config.o
DMAChannel23_UARTChannel1TX,.data,16 (0x10),DMA_config.o
DMAChannel0_UARTChannel2RX,.data,16 (0x10),DMA_config.o
DMAChannel23_UARTChannel2TX,.data,16 (0x10),DMA_config.o
DMAChannel16_UARTChannel3RX,.data,16 (0x10),DMA_config.o
DMAChannel17_UARTChannel3TX,.data,16 (0x10),DMA_config.o
DMAChannel18_UARTChannel4RX,.data,16 (0x10),DMA_config.o
DMAChannel19_UARTChannel4TX,.data,16 (0x10),DMA_config.o
DMAChannel6_UARTChannel5RX,.data,16 (0x10),DMA_config.o
DMAChannel7_UARTChannel5TX,.data,16 (0x10),DMA_config.o
DMAChannel10_UARTChannel6RX,.data,16 (0x10),DMA_config.o
DMAChannel11_UARTChannel6TX,.data,16 (0x10),DMA_config.o
DMAChannel20_UARTChannel7RX,.data,16 (0x10),DMA_config.o
DMAChannel21_UARTChannel7TX,.data,16 (0x10),DMA_config.o
DMA_ChannelsConfigTX,.data,32 (0x20),DMA_config.o
DMA_ChannelsConfigRX,.data,32 (0x20),DMA_config.o
DMAChannel0_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel1_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel28_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel29_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel26_MemToMem,.data,16 (0x10),DMA_config.o
Pt_DMAChannel28_MemToMem,.data,4 (0x4),DMA_config.o
Pt_DMAChannel29_MemToMem,.data,4 (0x4),DMA_config.o
Pt_DMAChannel0_MemToMem,.data,4 (0x4),DMA_config.o
Pt_DMAChannel1_MemToMem,.data,4 (0x4),DMA_config.o
DMA_ControlTable_Arr,.data,48 (0x30),DMA_config.o
DMA_ControlTable_PeripheralScatterGatherArr,.data,48 (0x30),DMA_config.o
EXTIAIntHandler,.text,28 (0x1c),GPIO.o
EXTIBIntHandler,.text,28 (0x1c),GPIO.o
EXTICIntHandler,.text,28 (0x1c),GPIO.o
EXTIDIntHandler,.text,28 (0x1c),GPIO.o
EXTIEIntHandler,.text,28 (0x1c),GPIO.o
EXTIFIntHandler,.text,28 (0x1c),GPIO.o
GPIO_BIT_BAND_Registers,.data,24 (0x18),GPIO.o
GPIO_TogglePinValue,.text,76 (0x4c),GPIO.o
GPIO_ConfigureAlternateFunctionSelect,.text,144 (0x90),GPIO.o
GPIO_ConfigureAnalogModeSelect,.text,40 (0x28),GPIO.o
GPIO_ConfigurePortControl,.text,96 (0x60),GPIO.o
GPIO_EXTIClearInterrupt,.text,76 (0x4c),GPIO.o
GPIO_ConfigureInterruptMask,.text,144 (0x90),GPIO.o
GPIO_ToggleBitBandBits,.text,84 (0x54),GPIO.o
GPIO_ReadBitBandBits,.text,52 (0x34),GPIO.o
GPIO_WriteBitBandBits,.text,132 (0x84),GPIO.o
GPIO_EnableAFSEL_GPTM,.text,90 (0x5a),GPIO.o
GPIO_EnableAFSEL_UART,.text,122 (0x7a),GPIO.o
RegisterCallbackFunction,.text,36 (0x24),GPIO.o
GPIO_ConfigurePin_PF2,.data,2 (0x2),GPIO_config.o
GPIO_ConfigurePin_PF3,.data,2 (0x2),GPIO_config.o
GPTM_EnableClkTimer,.text,128 (0x80),GPTM.o
GPTM_EnableTimer,.text,92 (0x5c),GPTM.o
GPTM_DisableTimer,.text,92 (0x5c),GPTM.o
GPTM_InitializePWM,.text,292 (0x124),GPTM.o
GPTM_GeneratePWM,.text,176 (0xb0),GPTM.o
GPTM_InitializeDelayMode,.text,180 (0xb4),GPTM.o
GPTM_GenerateDelay,.text,204 (0xcc),GPTM.o
GPTM_Config_ArrPtrStruct,.data,48 (0x30),GPTM_config.o
HC05_Initialization,.text,28 (0x1c),HC-05.o
HC05_Initialization_DMA,.text,32 (0x20),HC-05.o
HC05_SendString_DMA,.text,38 (0x26),HC-05.o
HC05_ReceiveString_DMA,.text,38 (0x26),HC-05.o
HC05_ReadChar,.text,24 (0x18),HC-05.o
HC05_WriteChar,.text,24 (0x18),HC-05.o
HC05_WriteString,.text,40 (0x28),HC-05.o
charater1,.data,1 (0x1),main.o
ptr_charater1,.data,4 (0x4),main.o
ListA,.data,4 (0x4),main.o
ListB,.data,4 (0x4),main.o
ListC,.data,4 (0x4),main.o
ListD,.data,8 (0x8),main.o
ListE,.data,8 (0x8),main.o
ListF,.data,8 (0x8),main.o
SourceBufferUART,.data,8 (0x8),main.o
SourceIndexCounterDMA,.data,4 (0x4),main.o
SourceIndexCounterDMA356,.data,4 (0x4),main.o
unused_var1,.data,4 (0x4),main.o
unused_var2,.data,4 (0x4),main.o
unused_var3,.data,4 (0x4),main.o
unused_var4,.data,4 (0x4),main.o
UnusedFunc1,.text,42 (0x2a),main.o
static_var.0,.data,4 (0x4),main.o
NVIC_Set_Pending,.text,76 (0x4c),NVIC.o
NVIC_Clear_Pending,.text,76 (0x4c),NVIC.o
NVIC_SetPriorityGrouping,.text,56 (0x38),NVIC.o
NVIC_AssignPriority,.text,308 (0x134),NVIC.o
SC_EnableRunModeClockPWM,.text,48 (0x30),SystemControl.o
SC_Initialization,.text,300 (0x12c),SystemControl.o
SC_PWMClkIntialization,.text,76 (0x4c),SystemControl.o
SC_GetPWMFrequency,.text,72 (0x48),SystemControl.o
SC_ADC_ClkIntialization,.text,44 (0x2c),SystemControl.o
ConfigSystemSrc_PLL,.data,5 (0x5),SystemControl_Config.o
ConfigSystemSrc_PrecisionInternalOSC,.data,5 (0x5),SystemControl_Config.o
ConfigSystemSrc_PrecisionInternalOSC_DIV4,.data,5 (0x5),SystemControl_Config.o
PWM_Module0,.data,3 (0x3),SystemControl_Config.o
SystickHandler,.text,28 (0x1c),SystickTimer.o
SysTickGenerateDelay_Polling,.text,116 (0x74),SystickTimer.o
Systick_RegisterCallbackFunction,.text,28 (0x1c),SystickTimer.o
Systick_ClearFlag,.text,28 (0x1c),SystickTimer.o
UART_InterruptNum_Arr,.data,8 (0x8),UART.o
UART0_IntHandler,.text,144 (0x90),UART.o
UART1_IntHandler,.text,144 (0x90),UART.o
UART2_IntHandler,.text,144 (0x90),UART.o
UART3_IntHandler,.text,144 (0x90),UART.o
UART4_IntHandler,.text,144 (0x90),UART.o
UART5_IntHandler,.text,144 (0x90),UART.o
UART6_IntHandler,.text,144 (0x90),UART.o
UART7_IntHandler,.text,144 (0x90),UART.o
UART_Initialization,.text,272 (0x110),UART.o
UART_ConfigureInterruptSource,.text,184 (0xb8),UART.o
UART_TransmitChar_Polling,.text,92 (0x5c),UART.o
UART_RecieveChar_Polling,.text,88 (0x58),UART.o
UART_TransmitChar_Interrupt,.text,100 (0x64),UART.o
UART_RecieveChar_Interrupt,.text,96 (0x60),UART.o
UART_Transmit_DMA,.text,152 (0x98),UART.o
UART_Receive_DMA,.text,60 (0x3c),UART.o
UART_DMA_Reload_PrimaryControlStructure,.text,84 (0x54),UART.o
UART_DMA_Reload_AlternateControlStructure,.text,84 (0x54),UART.o
UART_RecCharwTimeOut,.text,92 (0x5c),UART.o
UART0_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART1_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART2_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART3_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART4_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART5_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART6_RegisterCallbackFunction,.text,36 (0x24),UART.o
UART7_RegisterCallbackFunction,.text,36 (0x24),UART.o
UARTChannel1_Config,.data,12 (0xc),UART_config.o
