Name,Type,Size,Location
DMA_ErrorHandler,.text,60 (0x3c),DMA.o
DMA_SoftwareTransferHandler,.text,80 (0x50),DMA.o
DMA_DisableChannelAttributes,.text,184 (0xb8),DMA.o
DMA_ConfigureControlTableBaseAddress,.text,68 (0x44),DMA.o
DMA_ChannelAlternateControlStructureSet,.text,468 (0x1d4),DMA.o
DMA_ConfigureChannelsRequests,.text,64 (0x40),DMA.o
DMA_DeAssignChannel,.text,120 (0x78),DMA.o
DMA_MemoryToMemory_Transfer,.text,148 (0x94),DMA.o
DMA_ChannelScatterGatherSet,.text,148 (0x94),DMA.o
DMA_ChannelPeripheralScatterGatherSet,.text,148 (0x94),DMA.o
DMA_RegisterCallbackFunction_SoftwareTransfer,.text,64 (0x40),DMA.o
DMA_RegisterCallbackFunction_ErrorHandler,.text,64 (0x40),DMA.o
__gcov_.DMA_RegisterCallbackFunction_ErrorHandler,.data,24 (0x18),DMA.o
.LPBX0,.data,56 (0x38),DMA.o
__gcov_.DMA_RegisterCallbackFunction_SoftwareTransfer,.data,24 (0x18),DMA.o
__gcov_.DMA_ChannelPeripheralScatterGatherSet,.data,24 (0x18),DMA.o
__gcov_.DMA_ChannelScatterGatherSet,.data,24 (0x18),DMA.o
__gcov_.DMA_MemoryToMemory_Transfer,.data,24 (0x18),DMA.o
__gcov_.DMA_DeAssignChannel,.data,24 (0x18),DMA.o
__gcov_.DMA_AssignChannel,.data,24 (0x18),DMA.o
__gcov_.DMA_ConfigurePriority,.data,24 (0x18),DMA.o
__gcov_.DMA_ConfigureChannelInterrupt,.data,24 (0x18),DMA.o
__gcov_.DMA_ConfigurePeripheralInterrupt,.data,24 (0x18),DMA.o
__gcov_.DMA_ConfigureChannelsRequests,.data,24 (0x18),DMA.o
__gcov_.DMA_ConfigureChannelSoftwareRequest,.data,24 (0x18),DMA.o
__gcov_.DMA_ChannelAlternateControlStructureSet,.data,24 (0x18),DMA.o
__gcov_.DMA_ChannelControlStructureSet,.data,24 (0x18),DMA.o
__gcov_.DMA_EnableChannel,.data,24 (0x18),DMA.o
__gcov_.DMA_ConfigureControlTableBaseAddress,.data,24 (0x18),DMA.o
__gcov_.DMA_DisableChannelAttributes,.data,24 (0x18),DMA.o
__gcov_.DMA_EnableChannelAttributes,.data,24 (0x18),DMA.o
__gcov_.DMA_PeripheralInitialization,.data,24 (0x18),DMA.o
__gcov_.DMA_SoftwareTransferHandler,.data,24 (0x18),DMA.o
__gcov_.DMA_ErrorHandler,.data,24 (0x18),DMA.o
.LPBX1,.data,84 (0x54),DMA.o
_sub_I_00100_0,.text,16 (0x10),DMA.o
_sub_D_00100_1,.text,10 (0xa),DMA.o
DMAChannel8_UARTChannel0RX,.data,16 (0x10),DMA_config.o
DMAChannel9_UARTChannel0TX,.data,16 (0x10),DMA_config.o
DMAChannel22_UARTChannel1RX,.data,16 (0x10),DMA_config.o
DMAChannel23_UARTChannel1TX,.data,16 (0x10),DMA_config.o
DMAChannel0_UARTChannel2RX,.data,16 (0x10),DMA_config.o
DMAChannel23_UARTChannel2TX,.data,16 (0x10),DMA_config.o
DMAChannel16_UARTChannel3RX,.data,16 (0x10),DMA_config.o
DMAChannel17_UARTChannel3TX,.data,16 (0x10),DMA_config.o
DMAChannel18_UARTChannel4RX,.data,16 (0x10),DMA_config.o
DMAChannel19_UARTChannel4TX,.data,16 (0x10),DMA_config.o
DMAChannel6_UARTChannel5RX,.data,16 (0x10),DMA_config.o
DMAChannel7_UARTChannel5TX,.data,16 (0x10),DMA_config.o
DMAChannel10_UARTChannel6RX,.data,16 (0x10),DMA_config.o
DMAChannel11_UARTChannel6TX,.data,16 (0x10),DMA_config.o
DMAChannel20_UARTChannel7RX,.data,16 (0x10),DMA_config.o
DMAChannel21_UARTChannel7TX,.data,16 (0x10),DMA_config.o
DMA_ChannelsConfigTX,.data,32 (0x20),DMA_config.o
DMA_ChannelsConfigRX,.data,32 (0x20),DMA_config.o
DMAChannel0_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel1_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel28_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel29_MemToMem,.data,16 (0x10),DMA_config.o
DMAChannel26_MemToMem,.data,16 (0x10),DMA_config.o
Pt_DMAChannel28_MemToMem,.data,4 (0x4),DMA_config.o
Pt_DMAChannel29_MemToMem,.data,4 (0x4),DMA_config.o
Pt_DMAChannel0_MemToMem,.data,4 (0x4),DMA_config.o
Pt_DMAChannel1_MemToMem,.data,4 (0x4),DMA_config.o
DMA_ControlTable_Arr,.data,48 (0x30),DMA_config.o
DMA_ControlTable_PeripheralScatterGatherArr,.data,48 (0x30),DMA_config.o
__gcov_.__gnu_mcount_nc,.data,24 (0x18),dummy_mcount.o
.LPBX0,.data,56 (0x38),dummy_mcount.o
.LPBX1,.data,4 (0x4),dummy_mcount.o
_sub_I_00100_0,.text,16 (0x10),dummy_mcount.o
_sub_D_00100_1,.text,10 (0xa),dummy_mcount.o
EXTIAIntHandler,.text,100 (0x64),GPIO.o
EXTIBIntHandler,.text,100 (0x64),GPIO.o
EXTICIntHandler,.text,100 (0x64),GPIO.o
EXTIDIntHandler,.text,100 (0x64),GPIO.o
EXTIEIntHandler,.text,100 (0x64),GPIO.o
EXTIFIntHandler,.text,100 (0x64),GPIO.o
GPIO_TogglePinValue,.text,104 (0x68),GPIO.o
GPIO_ConfigureAlternateFunctionSelect,.text,216 (0xd8),GPIO.o
GPIO_ConfigureAnalogModeSelect,.text,116 (0x74),GPIO.o
GPIO_ConfigurePortControl,.text,124 (0x7c),GPIO.o
GPIO_EXTIClearInterrupt,.text,104 (0x68),GPIO.o
GPIO_ConfigureInterruptMask,.text,216 (0xd8),GPIO.o
GPIO_ToggleBitBandBits,.text,112 (0x70),GPIO.o
GPIO_ReadBitBandBits,.text,80 (0x50),GPIO.o
